DISTANCE_ANG,SMOOTHED_AMPLITUDE,VELOCITY,ACCELERATION,FREQUENCY,ID
0.027972505341173997,0.19322367918537522,0.0,0.0,0.0,CONTROL01_DCHA
0.02881960478537856,0.19322367918537522,0.0,0.0,0.0,CONTROL01_DCHA
0.280511115501067,0.4227419035219125,3.4473565668203388,3.4473565668203388,0.0,CONTROL01_DCHA
0.5074233468803236,0.6463649005006146,3.3588104358815905,3.3588104358815905,0.0,CONTROL01_DCHA
0.538605429627893,0.761784897628826,1.7336047548838718,1.7336047548838718,0.0,CONTROL01_DCHA
0.554133881192384,0.780284876179174,0.27786910048617464,0.27786910048617464,0.0,CONTROL01_DCHA
0.5589727008622563,0.789103265354303,0.13245193020961749,0.13245193020961749,0.0,CONTROL01_DCHA
0.5630879922507672,0.7933818336935227,0.06426396293120225,0.06426396293120225,0.0,CONTROL01_DCHA
0.5630666408710643,0.8058298547020694,0.18696888707542886,0.18696888707542886,0.0,CONTROL01_DCHA
0.5803284242770188,0.7968075393938854,-0.1355148943640567,-0.1355148943640567,0.0,CONTROL01_DCHA
0.5256267869268022,0.5702424984103379,-3.4029998450202164,-3.4029998450202164,0.0,CONTROL01_DCHA
0.061932333270454346,0.3212230652373254,-3.7402641149581433,-3.7402641149581433,0.0,CONTROL01_DCHA
0.043136707908795445,0.0871908424091712,-3.5151566832933363,-3.5151566832933363,0.0,CONTROL01_DCHA
0.04064481035612618,0.07153149292536752,-0.2352029405559131,-0.2352029405559131,0.0,CONTROL01_DCHA
0.0405247248829621,0.06477833394379101,-0.10143223715335042,-0.10143223715335042,0.0,CONTROL01_DCHA
0.03723009783706578,0.058960166974533885,-0.08738868630717615,-0.08738868630717615,0.0,CONTROL01_DCHA
0.030775495965540623,0.15644812790811635,1.4642661308564764,1.4642661308564764,0.0,CONTROL01_DCHA
0.22999049660306808,0.35003566643649225,2.9076787872924625,2.9076787872924625,0.0,CONTROL01_DCHA
0.4396518989757552,0.6045120591049395,3.8222274762809287,3.8222274762809287,0.0,CONTROL01_DCHA
0.5860963685380708,0.7650150818255629,2.4107503923485725,2.4107503923485725,0.0,CONTROL01_DCHA
0.5860568663881062,0.8327871645840763,1.0179345680283751,1.0179345680283751,0.0,CONTROL01_DCHA
0.5953753322289187,0.8407307506998071,0.1193124155579656,0.1193124155579656,1.155382214799493,CONTROL01_DCHA
0.5900617766078221,0.8325252214462885,-0.12324679331292031,-0.12324679331292031,1.0013312528262273,CONTROL01_DCHA
0.5753742882669844,0.8195904556711501,-0.19427977827949727,-0.19427977827949727,1.251664066032784,CONTROL01_DCHA
0.5665400289786521,0.8035993127198777,-0.24018646808281255,-0.24018646808281255,1.5019968792393408,CONTROL01_DCHA
0.5604887219717486,0.7110775758136326,-1.3896736009498347,-1.3896736009498347,1.251664066032784,CONTROL01_DCHA
0.36354058112720106,0.4719114942719515,-3.592267080955067,-3.592267080955067,1.6688854213770452,CONTROL01_DCHA
0.048770116467200336,0.22981475403368198,-3.6362854831189817,-3.6362854831189817,1.3654517083994007,CONTROL01_DCHA
0.03982591488818727,0.06890312891209552,-2.4168875876595357,-2.4168875876595357,1.6688854213770452,CONTROL01_DCHA
0.03597003858078113,0.08972091680791948,0.3126825245219411,0.3126825245219411,1.5019968792393408,CONTROL01_DCHA
0.06845080966854536,0.21389961074786024,1.8651601076580826,1.8651601076580826,1.6688854213770452,CONTROL01_DCHA
0.2791108004670972,0.3891911491250634,2.632873435996223,2.632873435996223,1.5019968792393408,CONTROL01_DCHA
0.3963682900818516,0.5888841672750834,2.999382900672151,2.999382900672151,1.6688854213770452,CONTROL01_DCHA
0.5213643783041092,0.7282598396811348,2.093418249957739,2.093418249957739,1.5019968792393408,CONTROL01_DCHA
0.6199430339547464,0.8226849189394773,1.4182617436795772,1.4182617436795772,0.0,CONTROL01_DCHA
0.6319686286547824,0.8787733016862459,0.8424457584722818,0.8424457584722818,0.0,CONTROL01_DCHA
0.6623217378083908,0.8985756921452944,0.2974312867096978,0.2974312867096978,0.0,CONTROL01_DCHA
0.6627402045128253,0.864863118556786,-0.5063618032106629,-0.5063618032106629,0.0,CONTROL01_DCHA
0.537526097193489,0.592864096563609,-4.085416821899046,-4.085416821899046,0.0,CONTROL01_DCHA
0.06199927788307251,0.321121729866625,-4.0815618673598255,-4.0815618673598255,0.0,CONTROL01_DCHA
0.05181383908184208,0.09386316480923806,-3.413416554966059,-3.413416554966059,0.0,CONTROL01_DCHA
0.050796464193507446,0.08318983101610071,-0.16031314048372103,-0.16031314048372103,0.0,CONTROL01_DCHA
0.03551466345865634,0.17637017626619836,1.39956587772091,1.39956587772091,0.0,CONTROL01_DCHA
0.2278144609081982,0.3490446355882346,2.5935649902603894,2.5935649902603894,0.0,CONTROL01_DCHA
0.41124576613166813,0.5670696496807465,3.274728907630661,3.274728907630661,0.0,CONTROL01_DCHA
