ID,max_intensity__abs_energy,max_intensity__absolute_maximum,max_intensity__absolute_sum_of_changes,"max_intensity__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.2","max_intensity__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4","max_intensity__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","max_intensity__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","max_intensity__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",max_intensity__cid_ce__normalize_False,"max_intensity__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_0__w_2__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_0__w_5__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_1__w_10__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_1__w_5__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_2__w_2__widths_(2, 5, 10, 20)","max_intensity__cwt_coefficients__coeff_2__w_5__widths_(2, 5, 10, 20)","max_intensity__fft_coefficient__attr_""abs""__coeff_0","max_intensity__fft_coefficient__attr_""abs""__coeff_1","max_intensity__fft_coefficient__attr_""imag""__coeff_1","max_intensity__fft_coefficient__attr_""real""__coeff_0","max_intensity__fft_coefficient__attr_""real""__coeff_1",max_intensity__friedrich_coefficients__coeff_0__m_3__r_30,max_intensity__friedrich_coefficients__coeff_1__m_3__r_30,max_intensity__friedrich_coefficients__coeff_3__m_3__r_30,max_intensity__index_mass_quantile__q_0.3,max_intensity__lempel_ziv_complexity__bins_5,"max_intensity__linear_trend__attr_""intercept""","max_intensity__linear_trend__attr_""stderr""",max_intensity__max_langevin_fixed_point__m_3__r_30,max_intensity__maximum,max_intensity__mean,max_intensity__mean_abs_change,max_intensity__mean_second_derivative_central,max_intensity__median,max_intensity__minimum,max_intensity__quantile__q_0.1,max_intensity__quantile__q_0.2,max_intensity__quantile__q_0.3,max_intensity__quantile__q_0.4,max_intensity__quantile__q_0.6,max_intensity__quantile__q_0.7,max_intensity__quantile__q_0.8,max_intensity__quantile__q_0.9,max_intensity__ratio_beyond_r_sigma__r_1,max_intensity__root_mean_square,max_intensity__sum_values,max_intensity__symmetry_looking__r_0.15000000000000002,max_intensity__symmetry_looking__r_0.2
CONTROL01_DCHA,0.36520693266766646,0.48927950307837265,0.47720556823184457,0.2303910341352986,0.2303910341352986,0.23860278411592228,0.2303910341352986,0.2303910341352986,0.33763507349093247,0.25959892786875527,0.1895257908678596,0.20368827268728412,0.32501091964836604,0.2700878913868366,0.1945529214541391,0.45413560948927645,0.364690450025714,0.26978254266891,0.19452795750974122,0.44857305726113533,0.3639708813612443,0.9906329410032734,0.2390263313969869,-0.21374765655082928,0.9906329410032734,-0.10698376708702562,-3.3985928879344907,-0.9420584142146623,0.3252103553821846,0.6666666666666666,0.6666666666666666,0.33842273031504816,0.1377573816387219,0.3996215304336119,0.48927950307837265,0.3302109803344245,0.23860278411592228,-0.23860278411592228,0.25888846894307405,0.2424649689818267,0.24574966897407619,0.24903436896632564,0.2523190689585751,0.2556037689508246,0.30496667577013375,0.35104488259719346,0.39712308942425323,0.44320129625131294,0.3333333333333333,0.34890635451730523,0.9906329410032734,0.0,0.0
CONTROL01_IZDA,0.26598539346311967,0.4088161259121005,0.373579338968309,0.17531635371581367,0.17531635371581367,0.1867896694841545,0.17531635371581367,0.17531635371581367,0.2646583367314158,0.2236843642799921,0.16315330546858936,0.17832551696363594,0.28014185943346276,0.23249410608842608,0.167494371930983,0.3903685383257326,0.313895040492543,0.23206747811406048,0.1674594927374401,0.3825966360708002,0.3128896715366024,0.8528690387679925,0.18784379561263093,-0.1717007818588005,0.8528690387679925,-0.07618486108956601,-4.949761410237518,-1.070084930016718,0.2672371920883962,0.6666666666666666,0.6666666666666666,0.2957629953576717,0.10784306595851784,0.336452870265834,0.4088161259121005,0.2842896795893308,0.1867896694841545,-0.18678966948415454,0.23349977219628681,0.21055314065960512,0.21514246696694145,0.2197317932742778,0.22432111958161413,0.2289104458889505,0.26856304293944955,0.3036263136826123,0.338689584425775,0.37375285516893775,0.3333333333333333,0.29776131014797724,0.8528690387679925,0.0,0.0
CONTROL02_DCHA,0.19521080289642517,0.3613225506817016,0.36480243626125547,-0.1646370578410105,-0.1646370578410105,0.18240121813062773,0.1646370578410105,0.1646370578410105,0.2591747278047459,0.18784315580472782,0.13718338695280552,0.13157677353133168,0.23321831101559112,0.19569026287505956,0.14120727478297226,0.3226878330403991,0.26384726653994794,0.19635081191543177,0.1412612783158114,0.33472108656531513,0.265403881527641,0.7191652157838494,0.18497810829371802,-0.14257987449464307,0.7191652157838494,-0.11784684949973975,-5.646770328264168,-1.299757947729374,0.2463941317617945,0.6666666666666666,0.6666666666666666,0.2219575783049992,0.10530939238823357,0.2989828043408208,0.3613225506817016,0.23972173859461646,0.18240121813062773,-0.1824012181306277,0.19668549284069112,0.16115717226145662,0.16826283637730352,0.17536850049315042,0.18247416460899732,0.18957982872484422,0.2296129044088932,0.2625403159770953,0.29546772754529743,0.3283951391134995,0.3333333333333333,0.25508874462065495,0.7191652157838494,0.0,0.0
CONTROL02_IZDA,0.267253436047079,0.42169597136731246,0.42052212602391204,0.20738853475432056,0.20738853475432056,0.21026106301195602,0.20738853475432056,0.20738853475432056,0.29738179513046403,0.22119174566943617,0.16153813734796643,0.1708383451113217,0.27666876253699174,0.23022952134010924,0.16586361230516236,0.38654801745524264,0.3108364722349353,0.2301227081976309,0.16585487974074264,0.38460219731975254,0.31058476202372887,0.8445657880780254,0.21031992029926808,-0.18457910443927542,0.8445657880780254,-0.10082173911952486,-4.506600011745382,-1.1119332153003543,0.28242478665821186,0.6666666666666666,0.6666666666666666,0.28439445761697724,0.12139428133004966,0.34405209713514934,0.42169597136731246,0.2815219293593418,0.21026106301195602,-0.21026106301195602,0.2143074366129919,0.20856238009772102,0.2097113914007752,0.21086040270382936,0.21200941400688356,0.21315842530993773,0.255785143563856,0.2972628505147201,0.33874055746558424,0.38021826441644835,0.3333333333333333,0.29847023081433044,0.8445657880780253,0.0,0.0
CONTROL03_IZDA,0.5495795958451766,0.6068958356229119,0.6122469955227767,0.2932969217691149,0.2932969217691149,0.30612349776138836,0.2932969217691149,0.2932969217691149,0.43330385858737125,0.31668003989649285,0.2313312255760963,0.2504598874805212,0.3969623247312207,0.32961689018046325,0.23734060445608607,0.5566368117261837,0.4452169003958738,0.3291399420824486,0.2373016113144729,0.5479482253671745,0.44409294969373875,1.2084405113459589,0.30692858947436524,-0.2762188664095915,1.2084405113459589,-0.13382188489228397,-2.227436098964005,-0.783379563175031,0.4086041752087371,0.6666666666666666,0.6666666666666666,0.4156400797742598,0.17674048383780738,0.4926271009898037,0.6068958356229119,0.4028135037819864,0.30612349776138836,-0.3061234977613884,0.313598913853797,0.2879457618692501,0.29307639226615945,0.29820702266306887,0.30333765305997823,0.30846828345688765,0.37225829820761996,0.43091768256144297,0.489577066915266,0.5482364512690889,0.3333333333333333,0.4280107459107293,1.208440511345959,0.0,0.0
CONTROL04_DCHA,0.5985592656108658,0.6300565154294124,0.625753279845898,0.2990580632375396,0.2990580632375396,0.312876639922949,0.2990580632375396,0.2990580632375396,0.44290573460068283,0.33139036011580575,0.24201430200046767,0.2623085031710961,0.415319452168323,0.3448463311873166,0.2483312183986221,0.5817168867655491,0.46574860745126934,0.3443324961723178,0.24828920954778688,0.5723563296720506,0.4645377309884136,1.264416266442339,0.3137907758273119,-0.2829263568776983,1.264416266442339,-0.1357104549333603,-2.068409848154832,-0.7444213197388484,0.4218337155048579,0.6666666666666666,0.6666666666666666,0.4352906654995225,0.18063941228266026,0.5125862452049612,0.6300565154294124,0.4214720888141131,0.312876639922949,-0.31287663992294906,0.33099845219187285,0.30336129882105395,0.30888872949521773,0.3144161601693815,0.3199435908435453,0.32547102151770907,0.39081006483938074,0.45062167748688864,0.5104332901343966,0.5702449027819045,0.3333333333333333,0.44667634278481994,1.2644162664423393,0.0,0.0
CONTROL04_IZDA,0.5599169451881404,0.6137548140924998,0.6239394079586364,0.2888021836720945,0.2888021836720945,0.3119697039793182,0.2888021836720945,0.2888021836720945,0.4424066685711893,0.3192422297971384,0.2332479309419098,0.2593654206791599,0.40113835280434873,0.33225304280971985,0.2391029428090187,0.5646056538525615,0.4489916113472205,0.33139157325206864,0.23903251291403274,0.5489122216353685,0.4469615176782852,1.2173250343188629,0.31453981972478506,-0.29023734998594847,1.2173250343188629,-0.12123357152882347,-2.2386381382711362,-0.7834990102493479,0.41546933296491617,0.6666666666666666,0.6666666666666666,0.4289425317468447,0.18011579257146723,0.4958868308153998,0.6137548140924998,0.40577501143962097,0.3119697039793182,-0.3119697039793182,0.3249526304204053,0.2786175898059578,0.2878845979288473,0.2971516060517368,0.3064186141746263,0.3156856222975158,0.38271306715482417,0.44047350388924306,0.498233940623662,0.5559943773580809,0.3333333333333333,0.43201733961657157,1.2173250343188629,0.0,0.0
CONTROL05_DCHA,0.24148336549904736,0.4040869226021733,0.41321724311779173,-0.19656457568400268,-0.19656457568400268,0.20660862155889587,0.19656457568400268,0.19656457568400268,0.29253377705832195,0.20892602263503626,0.15262768867843143,0.15287566724260895,0.26031741365322514,0.21763043596743295,0.15690802427351877,0.36225780188572293,0.29363536191087974,0.21800391744676823,0.15693855844751847,0.36906153189367147,0.29451548864307736,0.7990435246887283,0.2073397479382039,-0.17022991602645526,0.7990435246887283,-0.1183703795917877,-4.682642697405411,-1.1799270968446076,0.2749847203947181,0.6666666666666666,0.6666666666666666,0.25630379568801626,0.11928554327392604,0.33124049768060493,0.4040869226021733,0.2663478415629094,0.20660862155889587,-0.20660862155889587,0.20752234691817065,0.1874342551683843,0.19145187351834156,0.19546949186829884,0.1994871102182561,0.2035047285682134,0.24683526205497117,0.2861481771917717,0.3254610923285723,0.3647740074653728,0.3333333333333333,0.2837154475285918,0.7990435246887282,0.0,0.0
CONTROL05_IZDA,0.41804004402250516,0.5235294403816965,0.510854294674578,0.24544491299837118,0.24544491299837118,0.255427147337289,0.24544491299837118,0.24544491299837118,0.36150428102378596,0.27773548609886395,0.20277001545138165,0.21872127417658152,0.3478263656673319,0.2889511193780975,0.20812577135056085,0.48623965623849075,0.390184356704185,0.2885799363215475,0.20809542508532,0.4794777967085741,0.3893096463137533,1.0597340264705115,0.25601164544617167,-0.22985126693431512,1.0597340264705115,-0.1127402221602678,-2.979760818319495,-0.8813794225722329,0.34816935183250564,0.6666666666666666,0.6666666666666666,0.36322690982908834,0.14747093227352198,0.4273495503299578,0.5235294403816965,0.3532446754901705,0.255427147337289,-0.255427147337289,0.2780845273833253,0.2581200587054897,0.2621129524410568,0.2661058461766239,0.2700987399121911,0.2740916336477582,0.3271735099829995,0.37626249258267375,0.425351475182348,0.47444045778202226,0.3333333333333333,0.37329168399635565,1.0597340264705115,0.0,0.0
CONTROL06_DCHA,0.18576777060046684,0.3561088338286646,0.3688629292680554,-0.1824276080433395,-0.1824276080433395,0.1844314646340277,0.1824276080433395,0.1824276080433395,0.26084087328595057,0.18303873170016288,0.13375608961754243,0.13850799773885056,0.22872121458163774,0.19065681810597593,0.1373656560223925,0.31981420764918395,0.2573909471314139,0.19073133024313538,0.13737174780120087,0.32117159882277185,0.2575665384991678,0.6994635722179383,0.1844641197381235,-0.1579869429171624,0.6994635722179383,-0.09522151720304622,-6.210255882729043,-1.3590287993450016,0.24272611422816362,0.6666666666666666,0.6666666666666666,0.2311506674819579,0.10648155575349284,0.28977129726261797,0.3561088338286646,0.2331545240726461,0.1844314646340277,-0.18443146463402774,0.1736812257853251,0.16967351260394864,0.17047505524022394,0.17127659787649924,0.1720781405127745,0.1728796831490498,0.210166747393993,0.24665226900266088,0.2831377906113288,0.31962331221999674,0.3333333333333333,0.24884250079147577,0.6994635722179383,0.0,0.0
