ID,FPS
CONTROL01_DCHA,30.039937584786816
CONTROL01_IZDA,30.035106393420634
CONTROL02_DCHA,30.022683805541966
CONTROL02_IZDA,30.027990260193675
CONTROL03_DCHA,30.026494950672753
CONTROL03_IZDA,30.039921257244664
CONTROL04_DCHA,30.004694282815215
CONTROL04_IZDA,30.02100153396784
CONTROL05_DCHA,30.02283036910995
CONTROL05_IZDA,30.028731809837986
CONTROL06_DCHA,30.03981160455416
CONTROL06_IZDA,30.025369896552245
CONTROL07_DCHA,30.031270183970438
CONTROL07_IZDA,30.039577512106785
CONTROL08_DCHA,30.023444081403422
CONTROL08_IZDA,30.039608145608657
CONTROL09_DCHA,30.039392679691986
CONTROL09_IZDA,30.039822147536604
CONTROL1000_DCHA,30.00854547983863
CONTROL1000_IZDA,30.024444243257257
CONTROL1001_DCHA,30.039838311424006
CONTROL1001_IZDA,30.024338284071543
CONTROL1002_DCHA,30.00860213636199
CONTROL1002_IZDA,30.027702658136008
CONTROL101_DCHA,29.97002997002997
CONTROL101_IZDA,29.97002997002997
CONTROL102_DCHA,29.97002997002997
CONTROL102_IZDA,29.97002997002997
CONTROL103_DCHA,29.973238180196255
CONTROL103_IZDA,29.97319470392332
CONTROL104_DCHA,30.136341795467285
CONTROL104_IZDA,30.13443177043237
CONTROL105_DCHA,30.028534337604913
CONTROL105_IZDA,30.028543260475548
CONTROL106_DCHA,30.03635811297222
CONTROL106_IZDA,30.0364187796684
CONTROL107_DCHA,30.036236376913433
CONTROL107_IZDA,30.036415702830816
CONTROL108_DCHA,30.00247137325974
CONTROL108_IZDA,30.0
CONTROL109_DCHA,30.0
CONTROL109_IZDA,29.98397802700847
CONTROL10_DCHA,30.01212216009072
CONTROL10_IZDA,30.039523950103767
CONTROL110_DCHA,29.96388597023202
CONTROL110_IZDA,30.01019214072704
CONTROL11_DCHA,30.01155420357593
CONTROL11_IZDA,30.025579168264112
CONTROL12_DCHA,30.039493630925826
CONTROL12_IZDA,30.03950830444214
CONTROL13_DCHA,30.02581166265737
CONTROL13_IZDA,30.02432434223753
CONTROL14_DCHA,30.015614680423916
CONTROL14_IZDA,30.04000384916762
CONTROL15_DCHA,30.040053404539385
CONTROL15_IZDA,30.039674109061803
CONTROL16_DCHA,30.016969726517594
CONTROL16_IZDA,30.023187037169922
CONTROL17_DCHA,30.039656966143113
CONTROL17_IZDA,30.04000384916762
CONTROL18_DCHA,30.040218318604182
CONTROL18_IZDA,30.039820998917993
CONTROL19_DCHA,30.039228861374887
CONTROL20_DCHA,30.0318235415306
CONTROL20_IZDA,30.040003437578836
CONTROL21_DCHA,30.03781075300927
CONTROL21_IZDA,30.03998765569906
CONTROL22_DCHA,30.028837610995023
CONTROL22_IZDA,30.03952742187534
CONTROL23_DCHA,30.03963157434242
CONTROL23_IZDA,30.03954302187609
CONTROL24_DCHA,30.039707090897014
CONTROL24_IZDA,30.023213995225305
CONTROL25_DCHA,30.030909863322737
CONTROL25_IZDA,30.030489220097436
CONTROL995_DCHA,30.039790841332653
CONTROL995_IZDA,30.039904493592974
CONTROL996_DCHA,30.040020203516164
CONTROL996_IZDA,30.02433377133754
CONTROL997_DCHA,30.039789545801895
CONTROL997_IZDA,30.030392601283975
CONTROL998_DCHA,30.02663492200723
CONTROL998_IZDA,30.019269795297642
CONTROL999_DCHA,30.034571814190063
CONTROL999_IZDA,30.039871101644
ID01_DCHA,30.037448002608514
ID01_IZDA,30.039302235824287
ID08_DCHA,30.009581665458825
ID08_IZDA,30.03835268401389
ID1000_DCHA,30.00947493873203
ID1000_IZDA,30.038691407754342
ID1001_DCHA,30.039656966143113
ID1001_IZDA,30.0293675633195
ID1002_DCHA,30.029333289140055
ID1002_IZDA,30.040053404539385
ID1003_DCHA,30.039772129546655
ID1003_IZDA,30.023621890942294
ID1004_DCHA,30.040070032608448
ID1004_IZDA,30.03659122105653
ID101_DCHA,30.022059041734124
ID101_IZDA,30.039312532164427
ID102_DCHA,30.039609605452437
ID102_IZDA,30.019335886866624
ID103_DCHA,30.039690599970356
ID103_IZDA,30.039744142006064
ID104_DCHA,30.021632749671106
ID104_IZDA,30.039904738914572
ID105_DCHA,30.039887124861202
ID105_IZDA,30.037621377269552
ID106_DCHA,30.039905227140817
ID106_IZDA,30.01569448077426
ID107_DCHA,30.03814053370398
ID107_IZDA,30.033105799792512
ID108_DCHA,30.027090013996233
ID108_IZDA,30.028045996756045
ID109_DCHA,30.040053404539385
ID109_IZDA,30.019980349359376
ID110_DCHA,30.02404243132884
ID110_IZDA,30.021526107937273
ID111_DCHA,30.03970765954998
ID111_IZDA,30.03998765569906
ID112_DCHA,30.039724123416626
ID112_IZDA,30.039640448103675
ID113_IZDA,30.039658915814538
ID114_DCHA,30.039707090897014
ID114_IZDA,30.02062981716221
ID115_DCHA,30.038538188866102
ID115_IZDA,30.003224569143548
ID116_DCHA,30.024436966485585
ID116_IZDA,30.039921039180783
ID117_DCHA,30.039742120703263
ID117_IZDA,30.037308443208257
ID118_DCHA,30.03040415918931
ID118_IZDA,30.038008943344842
ID119_DCHA,30.032724181430478
ID119_IZDA,30.039483715337962
ID11_DCHA,30.009461110892104
ID11_IZDA,30.039609605452437
ID120_DCHA,30.024957223972013
ID120_IZDA,30.039754597972372
ID121_DCHA,30.039504688587147
ID121_IZDA,30.035428940892388
ID122_DCHA,30.039920380649576
ID122_IZDA,30.03982176592733
ID123_DCHA,30.024798807553694
ID123_IZDA,30.031906863046135
ID124_DCHA,30.03980603683719
ID124_IZDA,30.01956349811996
ID125_DCHA,30.034698065952416
ID125_IZDA,30.014742340332724
ID126_DCHA,30.03026075617865
ID126_IZDA,30.039724123416626
ID127_DCHA,30.03948899712536
ID127_IZDA,30.039954619444583
ID22_DCHA,30.039255667963385
ID22_IZDA,30.01693881917288
ID23_DCHA,30.039839421183583
ID23_IZDA,30.012067558517753
ID25_DCHA,30.02450104808207
ID25_IZDA,30.032273739737146
ID26_DCHA,30.02555330865748
ID26_IZDA,30.040102555208506
ID27_DCHA,30.024758120220444
ID27_IZDA,30.03003003003003
ID29_DCHA,30.035032678596203
ID29_IZDA,30.01481910053791
ID30_DCHA,30.025796356224326
ID30_IZDA,30.016407682656116
ID32_DCHA,30.039762777783153
ID32_IZDA,30.036911029972156
ID36_DCHA,30.03979127035376
ID36_IZDA,30.03937746109132
ID40_DCHA,30.040053404539385
ID40_IZDA,30.01026710401197
ID43_DCHA,30.023687519698985
ID43_IZDA,30.02379369080574
ID44_DCHA,30.039623930082403
ID44_IZDA,30.039658915814538
ID50_DCHA,30.03943287116312
ID50_IZDA,30.039536738638294
ID981_DCHA,30.04007000507852
ID981_IZDA,30.040053404539385
ID982_DCHA,30.01713374686598
ID982_IZDA,30.0401362702233
ID983_DCHA,30.03981944955925
ID983_IZDA,30.039822527890593
ID984_DCHA,30.039804810230635
ID984_IZDA,30.03954049527238
ID985_DCHA,30.039821383056548
ID985_IZDA,30.039987330746694
ID986_DCHA,30.039954619444583
ID986_IZDA,30.00202649602362
ID987_DCHA,30.039723038482517
ID987_IZDA,29.999967213150587
ID988_DCHA,30.03942674760623
ID988_IZDA,30.0376333567343
ID989_DCHA,30.002549236209614
ID989_IZDA,30.040315972336032
ID990_DCHA,30.039970402118936
ID990_IZDA,30.039839370988453
ID991_DCHA,30.039936621231888
ID991_IZDA,30.032853071564283
ID992_DCHA,30.01815050961046
ID992_IZDA,30.039672857277406
ID993_DCHA,29.972401103955843
ID993_IZDA,29.97335701598579
ID994_DCHA,30.03793219867734
ID994_IZDA,30.03970652037042
ID995_DCHA,29.996338706331958
ID995_IZDA,30.039770260627442
ID996_DCHA,30.040465693096458
ID996_IZDA,30.03962322138883
ID997_DCHA,30.002615359562594
ID997_IZDA,29.995265647916497
ID998_DCHA,30.039875798631247
ID998_IZDA,30.037219673303174
ID9992_DCHA,30.01286705479888
ID9992_IZDA,30.012869368085845
ID9993_DCHA,29.60179787906454
ID9993_IZDA,29.510679186533036
ID9994_DCHA,59.96002664890073
ID9994_IZDA,59.96002664890073
ID9995_DCHA,30.005231436747582
ID9995_IZDA,30.005188985137973
ID9996_DCHA,30.03623716600371
ID9996_IZDA,30.0363274006988
ID9997_DCHA,30.002296826551316
ID9997_IZDA,30.00231901982762
ID9998_DCHA,30.01284013895709
ID9998_IZDA,30.012867007925774
ID9999_DCHA,30.028983706937723
ID9999_IZDA,30.02873095524858
ID999_DCHA,30.03942674760623
ID999_IZDA,30.03962322138883
