DISTANCE_ANG,SMOOTHED_AMPLITUDE,VELOCITY,ACCELERATION,FREQUENCY,ID,index
0.0279725053411739,0.1932236791853752,0.0,0.0,0.0,CONTROL01_DCHA,
0.0288196047853785,0.1932236791853752,0.0,0.0,0.0,CONTROL01_DCHA,
0.280511115501067,0.4227419035219125,3.4473565668203388,3.4473565668203388,0.0,CONTROL01_DCHA,
0.5074233468803236,0.6463649005006146,3.3588104358815905,3.3588104358815905,0.0,CONTROL01_DCHA,
0.538605429627893,0.761784897628826,1.7336047548838718,1.7336047548838718,0.0,CONTROL01_DCHA,
0.554133881192384,0.780284876179174,0.2778691004861746,0.2778691004861746,0.0,CONTROL01_DCHA,
0.5589727008622563,0.789103265354303,0.1324519302096174,0.1324519302096174,0.0,CONTROL01_DCHA,
0.5630879922507672,0.7933818336935227,0.0642639629312022,0.0642639629312022,0.0,CONTROL01_DCHA,
0.5630666408710643,0.8058298547020694,0.1869688870754288,0.1869688870754288,0.0,CONTROL01_DCHA,
0.5803284242770188,0.7968075393938854,-0.1355148943640567,-0.1355148943640567,0.0,CONTROL01_DCHA,
0.5256267869268022,0.5702424984103379,-3.4029998450202164,-3.4029998450202164,0.0,CONTROL01_DCHA,
0.0619323332704543,0.3212230652373254,-3.7402641149581433,-3.7402641149581433,0.0,CONTROL01_DCHA,
0.0431367079087954,0.0871908424091712,-3.5151566832933363,-3.5151566832933363,0.0,CONTROL01_DCHA,
0.0406448103561261,0.0715314929253675,-0.2352029405559131,-0.2352029405559131,0.0,CONTROL01_DCHA,
0.0405247248829621,0.064778333943791,-0.1014322371533504,-0.1014322371533504,0.0,CONTROL01_DCHA,
0.0372300978370657,0.0589601669745338,-0.0873886863071761,-0.0873886863071761,0.0,CONTROL01_DCHA,
0.0307754959655406,0.1564481279081163,1.4642661308564764,1.4642661308564764,0.0,CONTROL01_DCHA,
0.229990496603068,0.3500356664364922,2.9076787872924625,2.9076787872924625,0.0,CONTROL01_DCHA,
0.4396518989757552,0.6045120591049395,3.8222274762809287,3.8222274762809287,0.0,CONTROL01_DCHA,
0.5860963685380708,0.7650150818255629,2.4107503923485725,2.4107503923485725,0.0,CONTROL01_DCHA,
0.5860568663881062,0.8327871645840763,1.0179345680283751,1.0179345680283751,0.0,CONTROL01_DCHA,
0.5953753322289187,0.8407307506998071,0.1193124155579656,0.1193124155579656,1.155382214799493,CONTROL01_DCHA,
0.5900617766078221,0.8325252214462885,-0.1232467933129203,-0.1232467933129203,1.0013312528262273,CONTROL01_DCHA,
0.5753742882669844,0.8195904556711501,-0.1942797782794972,-0.1942797782794972,1.251664066032784,CONTROL01_DCHA,
0.5665400289786521,0.8035993127198777,-0.2401864680828125,-0.2401864680828125,1.5019968792393408,CONTROL01_DCHA,
0.5604887219717486,0.7110775758136326,-1.3896736009498347,-1.3896736009498347,1.251664066032784,CONTROL01_DCHA,
0.363540581127201,0.4719114942719515,-3.592267080955067,-3.592267080955067,1.6688854213770452,CONTROL01_DCHA,
0.0487701164672003,0.2298147540336819,-3.6362854831189817,-3.6362854831189817,1.3654517083994009,CONTROL01_DCHA,
0.0398259148881872,0.0689031289120955,-2.416887587659536,-2.416887587659536,1.6688854213770452,CONTROL01_DCHA,
0.0359700385807811,0.0897209168079194,0.3126825245219411,0.3126825245219411,1.5019968792393408,CONTROL01_DCHA,
0.0684508096685453,0.2138996107478602,1.8651601076580824,1.8651601076580824,1.6688854213770452,CONTROL01_DCHA,
0.2791108004670972,0.3891911491250634,2.632873435996223,2.632873435996223,1.5019968792393408,CONTROL01_DCHA,
0.3963682900818516,0.5888841672750834,2.999382900672151,2.999382900672151,1.6688854213770452,CONTROL01_DCHA,
0.5213643783041092,0.7282598396811348,2.093418249957739,2.093418249957739,1.5019968792393408,CONTROL01_DCHA,
0.6199430339547464,0.8226849189394773,1.4182617436795772,1.4182617436795772,0.0,CONTROL01_DCHA,
0.6319686286547824,0.8787733016862459,0.8424457584722818,0.8424457584722818,0.0,CONTROL01_DCHA,
0.6623217378083908,0.8985756921452944,0.2974312867096978,0.2974312867096978,0.0,CONTROL01_DCHA,
0.6627402045128253,0.864863118556786,-0.5063618032106629,-0.5063618032106629,0.0,CONTROL01_DCHA,
0.537526097193489,0.592864096563609,-4.085416821899046,-4.085416821899046,0.0,CONTROL01_DCHA,
0.0619992778830725,0.321121729866625,-4.0815618673598255,-4.0815618673598255,0.0,CONTROL01_DCHA,
0.051813839081842,0.093863164809238,-3.413416554966059,-3.413416554966059,0.0,CONTROL01_DCHA,
0.0507964641935074,0.0831898310161007,-0.160313140483721,-0.160313140483721,0.0,CONTROL01_DCHA,
0.0355146634586563,0.1763701762661983,1.39956587772091,1.39956587772091,0.0,CONTROL01_DCHA,
0.2278144609081982,0.3490446355882346,2.593564990260389,2.593564990260389,0.0,CONTROL01_DCHA,
