ID,SMOOTHED_AMPLITUDE_mean,SMOOTHED_AMPLITUDE_std,SMOOTHED_AMPLITUDE_max,VELOCITY_mean,VELOCITY_std,VELOCITY_max,ACCELERATION_mean,ACCELERATION_std,ACCELERATION_max,DISTANCE_ANG_mean,DISTANCE_ANG_std,FREQUENCY_mean,FREQUENCY_std,FREQUENCY_count,INTERVAL_STD,INTERVAL_CV
ID9992_IZDA,0.182320255,0.110469434,0.460370019,0.009358808,1.131363271,2.09172312,0.009358808,1.131363271,2.09172312,0.109771739,0.095510268,0.212313261,0.602297147,150,0.116601949,0.226590155
ID9993_DCHA,0.322233755,0.166461594,0.553478536,0.01109711,1.123666357,2.307648398,0.01109711,1.123666357,2.307648398,0.159590563,0.125614906,0.118962122,0.44185793,150,0.044412316,0.086366128
ID9993_IZDA,0.67839781,0.369045208,1.215687056,-0.022968287,2.351451366,5.382860411,-0.022968287,2.351451366,5.382860411,0.437605248,0.276179139,0.118889073,0.50941626,150,0.087629976,0.15438926
ID9994_DCHA,0.4144872,0.226574335,0.715269856,0.11415225,2.892121764,4.925124764,0.11415225,2.892121764,4.925124764,0.246784092,0.162504162,0.105134073,0.443852356,149,0.080848527,0.173131423
ID9994_IZDA,0.385996407,0.272890263,0.806118378,-0.146870529,3.752513221,6.039095282,-0.146870529,3.752513221,6.039095282,0.251196347,0.224243594,0.130206236,0.518623004,150,0.074934093,0.143777606
ID9995_DCHA,0.306353503,0.207880933,0.790408716,0.028175402,2.07086763,3.561132745,0.028175402,2.07086763,3.561132745,0.184990491,0.170511992,0.178920084,0.521347362,150,0.114771464,0.216928777
ID9995_IZDA,0.279878942,0.181411769,0.684350497,0.016417961,1.919811118,2.795774318,0.016417961,1.919811118,2.795774318,0.14574519,0.131186145,0.207774027,0.585251325,150,0.110432456,0.175718386
ID9996_DCHA,0.17834806,0.064390267,0.476000837,-0.027077871,0.549793311,1.450787937,-0.027077871,0.549793311,1.450787937,0.094592771,0.070340248,0.248915022,0.693656567,150,0.098726242,0.238094984
ID9996_IZDA,0.261763033,0.081841135,0.580802335,-0.022874895,0.791984864,3.295602111,-0.022874895,0.791984864,3.295602111,0.10065926,0.055104473,0.285748939,0.775880176,134,0.087069398,0.204671344
ID9997_DCHA,0.129147303,0.016249211,0.171794414,0.002779984,0.221128932,0.631423625,0.002779984,0.221128932,0.631423625,0.044944072,0.015093208,0.314674162,0.835518753,150,0.084386799,0.184802758
ID9997_IZDA,0.184263196,0.018514999,0.266701687,-0.004926981,0.23270347,0.683638233,-0.004926981,0.23270347,0.683638233,0.027612575,0.018560129,0.281798893,0.776077452,150,0.111993327,0.238302094
ID9998_DCHA,0.244368804,0.107216489,0.531790255,-0.018682784,1.021997014,1.746653941,-0.018682784,1.021997014,1.746653941,0.125802404,0.109412404,0.168246583,0.510931479,150,0.202286495,0.382437305
ID9998_IZDA,0.320051434,0.121427212,0.580493303,-0.020033302,0.892328966,1.749881361,-0.020033302,0.892328966,1.749881361,0.17537103,0.121779365,0.088726017,0.318509808,150,0.043474384,0.104005073
ID9999_DCHA,0.260638265,0.04869029,0.43810363,-0.013380673,0.76317071,2.564771483,-0.013380673,0.76317071,2.564771483,0.114526646,0.08916509,0.340322371,0.8800279,150,0.069534864,0.158186462
ID9999_IZDA,0.214129256,0.029541381,0.325469782,0.001134531,0.336407259,1.094111159,0.001134531,0.336407259,1.094111159,0.057565881,0.047959983,0.296275535,0.773668196,150,0.143878668,0.294579123
ID999_DCHA,0.358908529,0.156435052,0.610399039,-0.013297117,1.298837122,2.475383116,-0.013297117,1.298837122,2.475383116,0.177509802,0.114431673,0.119552398,0.394597346,140,0.103781355,0.26177753
ID999_IZDA,0.286122682,0.150777795,0.548900575,0.022094684,1.264437251,2.332067169,0.022094684,1.264437251,2.332067169,0.130892793,0.108107888,0.124512689,0.436573377,144,0.038280079,0.098821177
