DISTANCE_ANG,SMOOTHED_AMPLITUDE,VELOCITY,ACCELERATION,FREQUENCY
-0.12137247048136524,-0.15022545354799707,0.0,0.0,0.0
-0.09122706060079347,-0.15022545354799707,0.0,0.0,0.0
-0.07867317930917692,-0.10455002237048683,0.6851314676626536,0.6851314676626536,0.0
-0.04394165003284636,-0.07851098827824696,0.3905855113835981,0.3905855113835981,0.0
-0.04973301676646716,-0.0044420052173286635,1.1110347459137744,1.1110347459137744,0.0
0.0583972492141307,0.003780610746481542,0.1233392394571531,0.1233392394571531,0.0
-0.026919607139229945,0.0015417935480614247,-0.033582257976301766,-0.033582257976301766,0.0
-0.054571470254222154,-0.047945731757001044,-0.742312879575937,-0.742312879575937,0.0
-0.0417416253651654,-0.053232244460259946,-0.07929769054888354,-0.07929769054888354,0.0
-0.04026935145203306,-0.010239719071389578,0.6448878808330556,0.6448878808330556,0.0
0.03290511952836961,-0.04055797968980463,-0.45477390927622585,-0.45477390927622585,0.0
-0.09571000622290232,-0.033300931522468206,0.10885572251004637,0.10885572251004637,0.0
-0.018229024398221827,-0.09369182956308127,-0.9058634706091959,-0.9058634706091959,0.0
-0.08143572199685756,-0.022562514426925733,1.0669397270423329,1.0669397270423329,0.0
0.04534583778715906,-0.02776718939504924,-0.07807012452185262,-0.07807012452185262,0.0
-0.03296605944183542,0.012434979049183134,0.6030325266634856,0.6030325266634856,1.4999999999999998
-0.0036574630520145313,-0.02049643958439436,-0.4939712795036624,-0.4939712795036624,2.5000000000000004
-0.016876388353208593,-0.01650571535620125,0.05986086342289667,0.05986086342289667,1.5000000000000004
-0.01817839967935339,-0.03827769852422066,-0.3265797475202911,-0.3265797475202911,2.9999999999999987
-0.04516722442740795,-0.04954192603911067,-0.16896341272335022,-0.16896341272335022,1.6666666666666665
-0.042880379436866206,-0.05825016504878555,-0.13062358514512318,-0.13062358514512318,1.8750000000000004
-0.036823102410990544,-0.053210965846874236,0.07558798802866973,0.07558798802866973,2.1428571428571423
-0.03430733230866709,-0.08964820515201198,-0.5465585895770662,-0.5465585895770662,2.1428571428571423
-0.10197223451318423,-0.09364935459773512,-0.06001724168584702,-0.06001724168584702,0.0
-0.04013909116957434,-0.09930001445642807,-0.08475989788039429,-0.08475989788039429,0.0
-0.04300170209550214,-0.055439018255315796,0.6579149430166841,0.6579149430166841,0.0
-0.0238061459550081,-0.09149074317314486,-0.540775873767436,-0.540775873767436,0.0
-0.10750791028877384,-0.12887385635487666,-0.5607466977259771,-0.5607466977259771,0.0
-0.11318333373103098,-0.13771134340348326,-0.13256230572909894,-0.13256230572909894,0.0
-0.04693529199590482,-0.052080829127868176,1.2844577141342262,1.2844577141342262,0.0
0.046256342622253754,0.05405192077742027,1.5919912485793268,1.5919912485793268,0.0
0.08852909924700414,0.12206180031408885,1.0201481930500287,1.0201481930500287,0.0
0.09056428552555124,0.09305021172421392,-0.435173828848124,-0.435173828848124,0.0
-0.006834076961953206,0.026291451527538274,-1.0013814029501347,-1.0013814029501347,0.0
-0.04738291746741746,-0.03512124722866505,-0.9211904813430498,-0.9211904813430498,0.0
-0.03461028832275492,-0.049946420695180294,-0.2223776019977286,-0.2223776019977286,0.0
-0.039166057241008245,-0.04261906352665005,0.10991035752795368,0.10991035752795368,0.0
-0.03422129712304664,-0.05836847539538296,-0.23624117803099365,-0.23624117803099365,0.0
-0.06589714978963182,-0.0711773781893581,-0.1921335419096271,-0.1921335419096271,0.0
-0.06315077780346648,-0.06827394327635972,0.043551523694975725,0.043551523694975725,0.0
-0.027685136747171518,-0.0679172121020678,0.005350967614378699,0.005350967614378699,0.0
-0.05919895704322162,-0.06824534800832448,-0.0049220385938501116,-0.0049220385938501116,0.0
-0.059509886497560116,-0.07422410341935658,-0.08968133116548149,-0.08968133116548149,0.0
-0.037117619674154834,-0.031077982592807935,0.6471918123982296,0.6471918123982296,0.0
0.01712249772868335,0.042710864033693195,1.106832699397517,1.106832699397517,0.0
0.0877875070897352,0.07486083744894602,0.48224960122879235,0.48224960122879235,0.0
0.02386659038904318,0.04710294830671948,-0.41636833713339805,-0.41636833713339805,0.0
-0.030654057761950404,-0.04374659735013922,-1.3627431848528806,-1.3627431848528806,0.0
-0.09054514771727742,-0.07095787189713862,-0.40816911820499097,-0.40816911820499097,0.0
-0.022599074460642465,-0.10137589663421746,-0.4562703710561827,-0.4562703710561827,0.0
-0.08580676524318842,-0.05121299138477592,0.7524435787416232,0.7524435787416232,0.0
0.007211137710317506,-0.006311377627054767,0.6735242063658172,0.6735242063658172,0.0
0.06563467242579674,0.07199143380193672,1.1745421714348723,1.1745421714348723,0.0
0.06610728155207662,0.116923641603698,0.6739831170264192,0.6739831170264192,0.0
0.09904792437240545,0.07472235526934569,-0.6330192950152848,-0.6330192950152848,0.0
-0.01995465827037987,0.03515486641049951,-0.5935123328826927,-0.5935123328826927,0.0
-0.014824158850779978,-0.04840358910600534,-1.2533768327475727,-1.2533768327475727,0.0
-0.06625738259476482,-0.07669399918167895,-0.4243561511351041,-0.4243561511351041,0.0
-0.07388602996890617,-0.05852311616154019,0.27256324530208137,0.27256324530208137,0.0
0.021741323868684048,-0.053149627999167726,0.08060232243558699,0.08060232243558699,0.0
