Model,CV_Accuracy,Test_Accuracy,Time_s,Status
XGBClassifier,0.6153562653562654,1.0,36.50941228866577,✅ OK
RandomForestClassifier,0.6787878787878787,0.9909502262443439,3.5188188552856445,✅ OK
LogisticRegression,0.6651105651105651,0.8687782805429864,1.968505620956421,✅ OK
