Features,Model,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Overfitting
classical,XGBoost,1.0,0.6363636363636364,0.6176470588235294,1.0,0.632996632996633,0.6418918918918919,0.38235294117647056
classical,RandomForest,0.9966666666666667,0.5757575757575758,0.5588235294117647,0.9966665185119339,0.5715884023094056,0.6028616852146264,0.437843137254902
classical,LogisticRegression,0.6816666666666666,0.5757575757575758,0.5294117647058824,0.6744658055364564,0.575189120643666,0.5357142857142857,0.15225490196078428
