Fold;Model;CV;Accuracy;Acceptable_Acc;Kappa;F1;MCC;y_true;y_pred
0;LogisticRegression;kfold_5;0.6;1.0;0.4117647058823529;0.6072532369768142;0.4148578123075942;0;0
0;KNeighborsClassifier;kfold_5;0.4888888888888889;0.9777777777777777;0.24120234604105573;0.48866442199775534;0.2436467591815389;0;0
0;DecisionTreeClassifier;kfold_5;0.5333333333333333;0.9555555555555556;0.3293115684882896;0.543462157809984;0.3333336773907648;0;1
0;RandomForestClassifier;kfold_5;0.6222222222222222;0.9777777777777777;0.4345898004434591;0.6060606060606061;0.43916270850798467;0;0
0;AdaBoostClassifier;kfold_5;0.6;0.9555555555555556;0.37740199846272093;0.5545849297573435;0.3950756151984848;0;0
0;XGBClassifier;kfold_5;0.5111111111111111;1.0;0.2846820809248555;0.525097862089732;0.28784931519313456;0;0
1;LogisticRegression;kfold_5;0.6363636363636364;0.9545454545454546;0.43317230273752017;0.5898760330578512;0.44790243451047457;1;1
1;KNeighborsClassifier;kfold_5;0.6590909090909091;0.9545454545454546;0.47284345047923326;0.6297815820543092;0.4871255043978238;1;1
1;DecisionTreeClassifier;kfold_5;0.6818181818181818;0.9545454545454546;0.5279693486590038;0.6673465423465423;0.5292083453142317;1;1
1;RandomForestClassifier;kfold_5;0.7727272727272727;0.9772727272727273;0.648;0.7063470066518847;0.6700927862394128;1;1
1;AdaBoostClassifier;kfold_5;0.6818181818181818;0.9545454545454546;0.4950819672131147;0.6263720953376125;0.5201942838213872;1;1
1;XGBClassifier;kfold_5;0.7045454545454546;0.9545454545454546;0.5531250000000001;0.64127331002331;0.5695500760795666;1;1
2;LogisticRegression;kfold_5;0.5681818181818182;0.8636363636363636;0.3214285714285714;0.5136363636363637;0.3368136109346829;1;1
2;KNeighborsClassifier;kfold_5;0.5909090909090909;0.8863636363636364;0.3172413793103447;0.5081585081585082;0.36632750330174735;1;1
2;DecisionTreeClassifier;kfold_5;0.6363636363636364;0.9545454545454546;0.47027840481565086;0.6361588861588862;0.47065868471970346;1;2
2;RandomForestClassifier;kfold_5;0.7272727272727273;0.9318181818181818;0.5731608730800324;0.6890993265993266;0.596824182568131;1;1
2;AdaBoostClassifier;kfold_5;0.6590909090909091;0.9545454545454546;0.44067796610169496;0.6040552584670232;0.5046612750616298;1;1
2;XGBClassifier;kfold_5;0.6590909090909091;0.9772727272727273;0.4782608695652174;0.6489624716368902;0.4854549723400658;1;1
3;LogisticRegression;kfold_5;0.6136363636363636;0.8863636363636364;0.3908794788273615;0.5894660894660895;0.4008376237237138;0;0
3;KNeighborsClassifier;kfold_5;0.5681818181818182;0.8863636363636364;0.3096614368290669;0.5502488654662568;0.3196239937812854;0;0
3;DecisionTreeClassifier;kfold_5;0.6136363636363636;0.8636363636363636;0.41608118657298987;0.599429306325858;0.42053588894985444;0;0
3;RandomForestClassifier;kfold_5;0.6818181818181818;0.9545454545454546;0.4950819672131147;0.662796442687747;0.5090447581920675;0;0
3;AdaBoostClassifier;kfold_5;0.6818181818181818;0.9318181818181818;0.48016877637130795;0.6319063079777365;0.5129974738563913;0;0
3;XGBClassifier;kfold_5;0.6590909090909091;0.9090909090909091;0.47660586835844565;0.6496950019677291;0.4804790702848029;0;0
4;LogisticRegression;kfold_5;0.5454545454545454;0.9090909090909091;0.3220338983050848;0.5172344285426326;0.32550963418931234;1;0
4;KNeighborsClassifier;kfold_5;0.5454545454545454;0.8863636363636364;0.29824561403508776;0.4967532467532468;0.30757993469509326;1;0
4;DecisionTreeClassifier;kfold_5;0.6363636363636364;0.9318181818181818;0.46177370030581033;0.6255335573517392;0.46439011387291856;1;0
4;RandomForestClassifier;kfold_5;0.6136363636363636;0.8636363636363636;0.4281345565749236;0.5818830193830195;0.4389351005003547;1;0
4;AdaBoostClassifier;kfold_5;0.5227272727272727;0.8863636363636364;0.2892307692307693;0.5202543256201793;0.29069724293955346;1;0
4;XGBClassifier;kfold_5;0.5454545454545454;0.8636363636363636;0.3261868300153139;0.5266414141414142;0.3306727944433083;1;0
