Model,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Overfitting
XGBoost,0.72,0.6363636363636364,0.5588235294117647,0.7159822577617833,0.6358893280632412,0.5840336134453781,0.16117647058823525
RandomForest,0.7366666666666667,0.5454545454545454,0.5294117647058824,0.7287796789423089,0.5353380601689461,0.5481792717086834,0.20725490196078433
LogisticRegression,0.6,0.696969696969697,0.5588235294117647,0.5847793296810372,0.7031268731268732,0.5824013271583605,0.04117647058823526
