Fold;Model;CV;Accuracy;Acceptable_Acc;Kappa;F1;MCC;y_true;y_pred
0;LogisticRegression;kfold_5;0.5111111111111111;0.9555555555555556;0.2836468885672938;0.5111111111111111;0.2838648583480561;0;0
0;KNeighborsClassifier;kfold_5;0.6222222222222222;0.9777777777777777;0.42437923250564336;0.6110347923681257;0.43679949468121365;0;1
0;DecisionTreeClassifier;kfold_5;0.4888888888888889;0.9111111111111111;0.24342105263157898;0.49313390313390315;0.2440111195678099;0;1
0;RandomForestClassifier;kfold_5;0.6444444444444445;0.9777777777777777;0.4658753709198813;0.6314811803183897;0.47310193015712687;0;0
0;AdaBoostClassifier;kfold_5;0.5555555555555556;0.9555555555555556;0.3050193050193051;0.5271024351769693;0.330609805753444;0;1
0;XGBClassifier;kfold_5;0.6;0.9555555555555556;0.40746159473299204;0.5924558404558404;0.4115533353415779;0;2
1;LogisticRegression;kfold_5;0.6363636363636364;0.9545454545454546;0.48613138686131385;0.6445284487880836;0.4927982381044607;1;1
1;KNeighborsClassifier;kfold_5;0.5909090909090909;0.9545454545454546;0.37042925278219396;0.5692095783004875;0.377775643811961;1;1
1;DecisionTreeClassifier;kfold_5;0.7272727272727273;0.9318181818181818;0.5819477434679335;0.7147776465958283;0.5887722219422185;1;1
1;RandomForestClassifier;kfold_5;0.75;0.9772727272727273;0.6276923076923078;0.7378787878787879;0.629690366583384;1;1
1;AdaBoostClassifier;kfold_5;0.7045454545454546;1.0;0.543859649122807;0.6775311252055438;0.5562546824504391;1;1
1;XGBClassifier;kfold_5;0.6818181818181818;0.9545454545454546;0.5206225680933851;0.669005994005994;0.5228407319749634;1;1
2;LogisticRegression;kfold_5;0.5454545454545454;0.8636363636363636;0.3059936908517351;0.5262277289955247;0.30873211573994325;1;1
2;KNeighborsClassifier;kfold_5;0.6818181818181818;0.9090909090909091;0.4925864909390445;0.6393591083246256;0.514025766100339;1;1
2;DecisionTreeClassifier;kfold_5;0.4772727272727273;0.8863636363636364;0.18714859437751008;0.46636363636363626;0.19292866050275126;1;1
2;RandomForestClassifier;kfold_5;0.7727272727272727;0.9772727272727273;0.6414017929910351;0.7370841392649904;0.6818016882056352;1;1
2;AdaBoostClassifier;kfold_5;0.6818181818181818;0.9318181818181818;0.48104465037910693;0.6434695419669845;0.5480856127300755;1;1
2;XGBClassifier;kfold_5;0.7045454545454546;0.9545454545454546;0.540192926045016;0.6745532245532245;0.559972002099825;1;1
3;LogisticRegression;kfold_5;0.5;0.7954545454545454;0.23839496459480725;0.4927906976744186;0.23984763311418852;0;0
3;KNeighborsClassifier;kfold_5;0.5454545454545454;0.8636363636363636;0.2937399678972713;0.5036796536796536;0.2991694121717477;0;0
3;DecisionTreeClassifier;kfold_5;0.5;0.9090909090909091;0.21935483870967742;0.4792490118577076;0.224899403847139;0;0
3;RandomForestClassifier;kfold_5;0.6590909090909091;0.8636363636363636;0.458128078817734;0.624791190434324;0.474252553405429;0;0
3;AdaBoostClassifier;kfold_5;0.5454545454545454;0.8863636363636364;0.2561284868977176;0.4859369202226345;0.2725997616890806;0;0
3;XGBClassifier;kfold_5;0.5681818181818182;0.8863636363636364;0.32689210950080516;0.5624035324228748;0.3384259431029193;0;0
4;LogisticRegression;kfold_5;0.6363636363636364;0.8863636363636364;0.47851851851851845;0.6342812360053739;0.4817409018536219;1;0
4;KNeighborsClassifier;kfold_5;0.6136363636363636;0.8863636363636364;0.42900763358778626;0.6039370982552801;0.44050272585928457;1;0
4;DecisionTreeClassifier;kfold_5;0.4090909090909091;0.7954545454545454;0.1306990881458967;0.3887859789113708;0.13203577547344728;1;0
4;RandomForestClassifier;kfold_5;0.5681818181818182;0.8409090909090909;0.3733133433283359;0.5436798996458087;0.3822896289870741;1;0
4;AdaBoostClassifier;kfold_5;0.5681818181818182;0.9090909090909091;0.34069400630914826;0.5298760330578512;0.3521213941268914;1;0
4;XGBClassifier;kfold_5;0.5;0.8636363636363636;0.27761194029850744;0.47892752408881445;0.2822617512808163;1;0
