Model;Accuracy;Acceptable_Acc;Kappa;F1;MCC
AdaBoostClassifier;0.4625;0.705;0.2833;0.3998;0.3173
DecisionTreeClassifier;0.6075;0.8275;0.4767;0.6081;0.4789
KNeighborsClassifier;0.5725;0.8125;0.43;0.5571;0.4357
LogisticRegression;0.47;0.7525;0.2933;0.4553;0.2979
RandomForestClassifier;0.645;0.8575;0.5267;0.6209;0.5363
XGBClassifier;0.655;0.8675;0.54;0.6433;0.5477
