Model,CV_Accuracy,Test_Accuracy,Status
XGBClassifier,0.7516666666666666,1.0,✅ OK
RandomForestClassifier,0.7516666666666666,0.9983333333333333,✅ OK
DecisionTreeClassifier,0.6900000000000001,0.9366666666666666,✅ OK
KNeighborsClassifier,0.7216666666666667,1.0,✅ OK
AdaBoostClassifier,0.4883333333333333,0.5433333333333333,✅ OK
LogisticRegression,0.49833333333333335,0.53,✅ OK
