Model,CV_Accuracy,Test_Accuracy,Test_Kappa
KNeighborsClassifier,0.4006349206349206,0.37777777777777777,0.14227365554799187
RandomForestClassifier,0.48571428571428565,0.4666666666666667,0.2582417582417582
ExtraTreesClassifier,0.4007936507936508,0.4,0.17459239130434778
XGBoost,0.4687301587301588,0.35555555555555557,0.1305796135909394
LightGBM,0.4185714285714286,0.4444444444444444,0.22037422037422028
CatBoost,0.4463492063492064,0.4888888888888889,0.2559309849029475
BEST: CatBoost,,0.4888888888888889,0.2559309849029475
