Model,CV_Accuracy,Test_Accuracy,Status
XGBClassifier,0.91,1.0,✅ OK
RandomForestClassifier,0.9049999999999999,1.0,✅ OK
DecisionTreeClassifier,0.8250000000000001,0.905,✅ OK
KNeighborsClassifier,0.8583333333333334,1.0,✅ OK
AdaBoostClassifier,0.8133333333333334,0.8433333333333334,✅ OK
LogisticRegression,0.8850000000000001,1.0,✅ OK
