Model;Accuracy;Acceptable_Acc;Kappa;F1;MCC
AdaBoostClassifier;0.5929;0.9093;0.3644;0.54;0.3897
DecisionTreeClassifier;0.5162;0.8686;0.2889;0.5029;0.2942
KNeighborsClassifier;0.5748;0.8912;0.3386;0.5336;0.3557
LogisticRegression;0.5703;0.9183;0.3421;0.5398;0.3534
RandomForestClassifier;0.6204;0.9319;0.4153;0.5852;0.4332
XGBClassifier;0.602;0.9275;0.3939;0.5746;0.4043
