epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4124999940395355,2.2062835693359375,0.0005,0.5375000238418579,2.0161025524139404
1,0.5355769395828247,1.8791453838348389,0.0005,0.512499988079071,1.7962865829467773
2,0.5865384340286255,1.7223483324050903,0.0005,0.550000011920929,1.6697323322296143
3,0.6019230484962463,1.6123225688934326,0.0005,0.5625,1.6681592464447021
4,0.6384615302085876,1.4737874269485474,0.0005,0.625,1.4388182163238525
5,0.6634615659713745,1.403828740119934,0.0005,0.699999988079071,1.3295818567276
6,0.6673076748847961,1.32704496383667,0.0005,0.6875,1.2838938236236572
7,0.682692289352417,1.248265266418457,0.0005,0.6625000238418579,1.2614854574203491
8,0.6932692527770996,1.2154289484024048,0.0005,0.7124999761581421,1.1770968437194824
9,0.7269230484962463,1.1342604160308838,0.0005,0.699999988079071,1.1678531169891357
10,0.7221153974533081,1.1102503538131714,0.0005,0.699999988079071,1.0900046825408936
11,0.7096154093742371,1.1115577220916748,0.0005,0.75,1.0617190599441528
12,0.7355769276618958,1.0145292282104492,0.0005,0.75,1.0095936059951782
13,0.7509615421295166,1.0181630849838257,0.0005,0.75,1.0179897546768188
14,0.7413461804389954,1.0129648447036743,0.0005,0.762499988079071,0.9733567237854004
15,0.7596153616905212,0.9341784119606018,0.0005,0.762499988079071,0.9527126550674438
16,0.7586538195610046,0.9677702188491821,0.0005,0.7749999761581421,0.8634921908378601
17,0.7653846144676208,0.9229886531829834,0.0005,0.737500011920929,0.9461919665336609
18,0.8057692050933838,0.8835821151733398,0.0005,0.7875000238418579,0.8866179585456848
19,0.7884615659713745,0.8755267858505249,0.0005,0.8125,0.8491929173469543
20,0.800000011920929,0.8510121703147888,0.0005,0.800000011920929,0.8617323040962219
21,0.7807692289352417,0.8536202907562256,0.0005,0.7875000238418579,0.8416919708251953
22,0.7836538553237915,0.8365907073020935,0.0005,0.824999988079071,0.7522348165512085
23,0.7903845906257629,0.8206074237823486,0.0005,0.800000011920929,0.7976901531219482
24,0.817307710647583,0.8017715215682983,0.0005,0.800000011920929,0.7991563081741333
25,0.817307710647583,0.7419559359550476,0.0005,0.824999988079071,0.6943432688713074
26,0.8019230961799622,0.7624962329864502,0.0005,0.824999988079071,0.769586443901062
27,0.8038461804389954,0.771478533744812,0.0005,0.8374999761581421,0.7548894882202148
28,0.8144230842590332,0.7345982193946838,0.0005,0.8500000238418579,0.6788695454597473
29,0.8201923370361328,0.7300915122032166,0.0005,0.875,0.7002277970314026
30,0.8317307829856873,0.7121988534927368,0.0005,0.8125,0.7010294198989868
31,0.824999988079071,0.7158167362213135,0.0005,0.8374999761581421,0.7471556663513184
32,0.8423076868057251,0.6720452904701233,0.0005,0.824999988079071,0.7697681188583374
33,0.8336538672447205,0.6618980169296265,0.00025,0.875,0.6194971799850464
34,0.8528845906257629,0.645137369632721,0.00025,0.887499988079071,0.5959912538528442
35,0.8615384697914124,0.6226487755775452,0.00025,0.875,0.6509580016136169
36,0.857692301273346,0.6207540035247803,0.00025,0.875,0.6281898617744446
37,0.8538461327552795,0.6174746155738831,0.00025,0.887499988079071,0.6155611276626587
38,0.8663461804389954,0.6182446479797363,0.00025,0.875,0.5882917046546936
39,0.8673076629638672,0.5811910629272461,0.00025,0.875,0.625390887260437
40,0.8528845906257629,0.5832880735397339,0.00025,0.875,0.6201738119125366
41,0.862500011920929,0.5802128314971924,0.00025,0.875,0.6209761500358582
42,0.8692307472229004,0.5779048204421997,0.00025,0.887499988079071,0.6326736211776733
43,0.8759615421295166,0.561237633228302,0.000125,0.875,0.6142449378967285
44,0.9019230604171753,0.502162516117096,0.000125,0.887499988079071,0.5695796012878418
45,0.8894230723381042,0.5345180630683899,0.000125,0.875,0.5680497884750366
46,0.8865384459495544,0.5276627540588379,0.000125,0.9125000238418579,0.5352312922477722
47,0.879807710647583,0.5412877798080444,0.000125,0.887499988079071,0.5479530096054077
48,0.8942307829856873,0.5076221227645874,0.000125,0.862500011920929,0.605851948261261
49,0.892307698726654,0.5143027305603027,0.000125,0.862500011920929,0.5561303496360779
50,0.9028846025466919,0.48726093769073486,0.000125,0.8999999761581421,0.5096030235290527
51,0.8980769515037537,0.5147136449813843,0.000125,0.887499988079071,0.501042902469635
52,0.8990384340286255,0.5111437439918518,0.000125,0.862500011920929,0.5880115628242493
53,0.8855769038200378,0.5124402642250061,0.000125,0.9125000238418579,0.5402991771697998
54,0.8807692527770996,0.5219883918762207,0.000125,0.887499988079071,0.5762565732002258
55,0.9067307710647583,0.48173657059669495,0.000125,0.9125000238418579,0.46289581060409546
56,0.9009615182876587,0.49887049198150635,0.000125,0.8999999761581421,0.5037142038345337
57,0.9048076868057251,0.47023382782936096,0.000125,0.862500011920929,0.56328284740448
58,0.8942307829856873,0.48036301136016846,0.000125,0.862500011920929,0.46937131881713867
59,0.9057692289352417,0.4823521375656128,0.000125,0.8500000238418579,0.6101045608520508
60,0.9028846025466919,0.4650854468345642,6.25e-05,0.8999999761581421,0.5371357798576355
61,0.892307698726654,0.506544291973114,6.25e-05,0.8999999761581421,0.4726787507534027
62,0.8980769515037537,0.4775671064853668,6.25e-05,0.9125000238418579,0.47198066115379333
