Model;Accuracy;Acceptable_Acc;Kappa;F1;MCC
AdaBoostClassifier;0.6609;0.9366;0.4738;0.6171;0.4923
DecisionTreeClassifier;0.5839;0.9365;0.3915;0.5792;0.3959
KNeighborsClassifier;0.6744;0.9501;0.5073;0.6549;0.5161
LogisticRegression;0.6427;0.932;0.4662;0.6275;0.4733
RandomForestClassifier;0.6744;0.9501;0.5071;0.6594;0.5172
XGBClassifier;0.6473;0.9411;0.4728;0.6361;0.4812
