Model,CV_Accuracy,Test_Accuracy,Status
XGB,0.5384520884520885,1.0,✅ OK
XGBClassifier,0.5384520884520885,1.0,✅ OK
RandomForest,0.5792383292383292,1.0,✅ OK
RandomForestClassifier,0.5792383292383292,1.0,✅ OK
LogisticRegression,0.5428746928746928,0.6561085972850679,✅ OK
LogisticRegressionClassifier,0.5428746928746928,0.6561085972850679,✅ OK
