epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2734375,0.0003000000142492354,3.783107042312622,0.38749998807907104,3.646336078643799
1,0.27031248807907104,0.0003000000142492354,3.625584840774536,0.550000011920929,3.497398853302002
2,0.3187499940395355,0.0003000000142492354,3.487431049346924,0.4749999940395355,3.3460471630096436
3,0.3531250059604645,0.0003000000142492354,3.317751407623291,0.4625000059604645,3.197279691696167
4,0.41718751192092896,0.0003000000142492354,3.1597156524658203,0.5,3.0673770904541016
5,0.41718751192092896,0.0003000000142492354,3.072488307952881,0.512499988079071,2.9484825134277344
6,0.4609375,0.0003000000142492354,2.9256434440612793,0.512499988079071,2.8372371196746826
7,0.47343748807907104,0.0003000000142492354,2.8327484130859375,0.5,2.7210841178894043
8,0.4468750059604645,0.0003000000142492354,2.7493793964385986,0.5249999761581421,2.6301987171173096
9,0.4703125059604645,0.0003000000142492354,2.6533913612365723,0.5375000238418579,2.5442638397216797
10,0.4984374940395355,0.0003000000142492354,2.5622897148132324,0.5375000238418579,2.458806276321411
11,0.4781250059604645,0.0003000000142492354,2.471296548843384,0.550000011920929,2.377244472503662
12,0.4921875,0.0003000000142492354,2.395023822784424,0.550000011920929,2.299900770187378
13,0.518750011920929,0.0003000000142492354,2.341735363006592,0.5625,2.2204432487487793
14,0.5078125,0.0003000000142492354,2.263104200363159,0.5,2.1343255043029785
15,0.48124998807907104,0.0003000000142492354,2.209918975830078,0.5375000238418579,2.097914695739746
16,0.515625,0.0003000000142492354,2.157834529876709,0.5625,2.06356143951416
17,0.5218750238418579,0.0003000000142492354,2.0827815532684326,0.512499988079071,1.995510458946228
18,0.510937511920929,0.0003000000142492354,2.0382237434387207,0.512499988079071,1.9549472332000732
19,0.5015624761581421,0.0003000000142492354,1.99185049533844,0.5249999761581421,1.8905309438705444
20,0.535937488079071,0.0003000000142492354,1.9252336025238037,0.5,1.8599755764007568
21,0.550000011920929,0.0003000000142492354,1.8799396753311157,0.512499988079071,1.8302319049835205
22,0.567187488079071,0.0003000000142492354,1.8161115646362305,0.5249999761581421,1.8185867071151733
23,0.590624988079071,0.0003000000142492354,1.7576234340667725,0.5375000238418579,1.7916269302368164
24,0.573437511920929,0.0003000000142492354,1.7414324283599854,0.5249999761581421,1.743899941444397
25,0.573437511920929,0.0003000000142492354,1.6942964792251587,0.5,1.7752240896224976
26,0.5703125,0.0003000000142492354,1.7116239070892334,0.5249999761581421,1.6791740655899048
27,0.5796874761581421,0.0003000000142492354,1.6599891185760498,0.5249999761581421,1.7428550720214844
28,0.578125,0.0003000000142492354,1.6181319952011108,0.5249999761581421,1.6707054376602173
29,0.5843750238418579,0.0003000000142492354,1.586487889289856,0.512499988079071,1.5685279369354248
30,0.5843750238418579,0.0003000000142492354,1.5391647815704346,0.5249999761581421,1.578688383102417
31,0.596875011920929,0.0003000000142492354,1.5007117986679077,0.5375000238418579,1.6151851415634155
32,0.6156250238418579,0.0003000000142492354,1.493096947669983,0.5375000238418579,1.5745906829833984
33,0.604687511920929,0.0003000000142492354,1.4772469997406006,0.550000011920929,1.6068083047866821
34,0.612500011920929,0.0003000000142492354,1.4648516178131104,0.5375000238418579,1.6066932678222656
35,0.6187499761581421,0.0001500000071246177,1.413407564163208,0.5625,1.6056734323501587
36,0.629687488079071,0.0001500000071246177,1.385869026184082,0.550000011920929,1.6607856750488281
37,0.629687488079071,0.0001500000071246177,1.3880010843276978,0.5375000238418579,1.6441707611083984
38,0.6468750238418579,0.0001500000071246177,1.3752437829971313,0.5249999761581421,1.6956236362457275
39,0.6343749761581421,0.0001500000071246177,1.379473090171814,0.5375000238418579,1.6435546875
40,0.643750011920929,7.500000356230885e-05,1.3636943101882935,0.550000011920929,1.633306860923767
41,0.625,7.500000356230885e-05,1.3399511575698853,0.5375000238418579,1.6498243808746338
