Model,CV_Accuracy,Test_Accuracy,Test_Kappa
KNeighborsClassifier,0.5253968253968254,0.5555555555555556,0.3635077793493635
RandomForestClassifier,0.6549206349206349,0.6222222222222222,0.44844989185291995
ExtraTreesClassifier,0.6493650793650794,0.6444444444444445,0.47483588621444206
XGBoost,0.6211111111111111,0.6222222222222222,0.4411979547114683
LightGBM,0.6044444444444446,0.6222222222222222,0.4383259911894273
CatBoost,0.6438095238095238,0.6,0.41219158200290273
BEST: ExtraTreesClassifier,,0.6444444444444445,0.47483588621444206
