Model,CV_Accuracy,Test_Accuracy,Test_Kappa
KNeighborsClassifier,0.48015873015873023,0.5555555555555556,0.3293591654247392
RandomForestClassifier,0.4973015873015873,0.5555555555555556,0.35298346513299783
ExtraTreesClassifier,0.5026984126984126,0.6,0.41473988439306364
XGBoost,0.5085714285714286,0.4444444444444444,0.1800291545189504
LightGBM,0.49682539682539684,0.5555555555555556,0.34306569343065696
CatBoost,0.5084126984126984,0.5333333333333333,0.3181818181818181
BEST: ExtraTreesClassifier,,0.6,0.41473988439306364
