Model;Best_CV_Score;Accuracy;Acceptable_Acc;Kappa;F1;MCC
LogisticRegression;0.1080;0.4414;0.9099;0.0642;0.3441;0.0914
KNeighborsClassifier;0.3300;0.5270;0.8964;0.2717;0.5090;0.2766
DecisionTreeClassifier;0.2304;0.5856;0.9054;0.3602;0.5622;0.3668
RandomForestClassifier;0.2281;0.5495;0.8874;0.3588;0.5322;0.3829
AdaBoostClassifier;0.2551;0.5856;0.9099;0.3664;0.5651;0.3713
XGBClassifier;0.2784;0.5811;0.9009;0.3578;0.5591;0.3635
