2026-04-30 00:15:15.703940	AdaBoostClassifier	0:00:18.378636
2026-04-30 00:15:34.082576	XGBClassifier	0:05:31.481804
2026-04-30 00:21:05.568400	LogisticRegression	0:06:30.237513
2026-04-30 00:27:35.805913	KNeighborsClassifier	0:00:00.700073
2026-04-30 00:27:36.505986	DecisionTreeClassifier	0:00:17.776373
2026-04-30 00:27:54.282359	RandomForestClassifier	0:04:16.738205
2026-04-30 00:32:11.051914	AdaBoostClassifier	0:00:18.982931
2026-04-30 00:32:30.068138	XGBClassifier	0:05:34.207061
2026-04-30 00:38:04.279219	LogisticRegression	0:06:34.393236
2026-04-30 00:44:38.674093	KNeighborsClassifier	0:00:00.730924
2026-04-30 00:44:39.407411	DecisionTreeClassifier	0:00:17.380357
2026-04-30 00:44:56.788535	RandomForestClassifier	0:04:14.750390
2026-04-30 00:49:11.558691	AdaBoostClassifier	0:00:20.471096
2026-04-30 00:49:32.052780	XGBClassifier	0:05:37.258042
2026-04-30 00:55:09.325456	LogisticRegression	0:06:30.883428
2026-04-30 01:01:40.208884	KNeighborsClassifier	0:00:00.753594
2026-04-30 01:01:40.963228	DecisionTreeClassifier	0:00:17.743222
2026-04-30 01:01:58.706450	RandomForestClassifier	0:04:14.589557
2026-04-30 01:06:13.373564	AdaBoostClassifier	0:00:19.254831
2026-04-30 01:06:32.653946	XGBClassifier	0:05:35.021547
2026-04-30 01:12:07.678155	LogisticRegression	0:06:30.869127
2026-04-30 01:18:38.547282	KNeighborsClassifier	0:00:00.696843
2026-04-30 01:18:39.244125	DecisionTreeClassifier	0:00:17.261345
2026-04-30 01:18:56.506586	RandomForestClassifier	0:04:13.952281
2026-04-30 01:23:10.475532	AdaBoostClassifier	0:00:19.735810
2026-04-30 01:23:30.239857	XGBClassifier	0:05:34.890141
2026-04-30 01:29:05.136030	LogisticRegression	0:06:30.579557
2026-04-30 01:35:35.728754	KNeighborsClassifier	0:00:00.667329
2026-04-30 01:35:36.412824	DecisionTreeClassifier	0:00:17.433878
2026-04-30 01:35:53.848711	RandomForestClassifier	0:04:14.151507
2026-04-30 01:40:08.010890	AdaBoostClassifier	0:00:18.719352
2026-04-30 01:40:26.747722	XGBClassifier	0:05:35.257057
2026-04-30 01:46:02.008798	LogisticRegression	0:06:31.305790
2026-04-30 01:52:33.330010	KNeighborsClassifier	0:00:00.701203
2026-04-30 01:52:34.046348	DecisionTreeClassifier	0:00:17.316234
2026-04-30 01:52:51.362582	RandomForestClassifier	0:04:14.502842
2026-04-30 01:57:05.896251	AdaBoostClassifier	0:00:19.264111
2026-04-30 01:57:25.177022	XGBClassifier	0:05:36.158352
2026-04-30 02:03:01.339364	LogisticRegression	0:06:30.008556
2026-04-30 02:09:31.349006	KNeighborsClassifier	0:00:00.687974
2026-04-30 02:09:32.039037	DecisionTreeClassifier	0:00:17.125275
2026-04-30 02:09:49.164312	RandomForestClassifier	0:04:14.922658
2026-04-30 02:14:04.121130	AdaBoostClassifier	0:00:19.506327
2026-04-30 02:14:23.652303	XGBClassifier	0:05:33.857217
2026-04-30 02:19:57.513661	LogisticRegression	0:06:33.387964
2026-04-30 02:26:30.916956	KNeighborsClassifier	0:00:00.651492
2026-04-30 02:26:31.568448	DecisionTreeClassifier	0:00:17.130911
2026-04-30 02:26:48.699359	RandomForestClassifier	2026-05-01 10:18:30.876795	LogisticRegression	0:06:26.680336
2026-05-01 10:24:57.559133	KNeighborsClassifier	0:00:04.163504
2026-05-01 10:25:01.738695	DecisionTreeClassifier	0:00:17.297804
2026-05-01 10:25:19.038501	RandomForestClassifier	0:04:15.024202
2026-05-01 10:29:34.091516	AdaBoostClassifier	0:00:19.063184
2026-05-01 10:29:53.192246	XGBClassifier	0:05:52.145644
2026-05-01 10:35:45.340881	LogisticRegression	0:06:53.196642
2026-05-01 10:42:38.537523	KNeighborsClassifier	0:00:00.639008
2026-05-01 10:42:39.178536	DecisionTreeClassifier	0:00:17.104979
2026-05-01 10:42:56.283515	RandomForestClassifier	
