ID,Percentage
ID993_IZDA,95.0
ID994_DCHA,95.0
ID994_IZDA,95.0
ID996_DCHA,95.0
ID996_IZDA,95.0
ID997_DCHA,95.0
ID997_IZDA,95.0
ID998_DCHA,95.0
ID998_IZDA,95.0
ID999_DCHA,95.0
ID999_IZDA,95.0
ID9992_DCHA,95.0
ID9992_IZDA,95.0
ID9993_DCHA,95.0
ID9993_IZDA,95.0
ID9994_DCHA,95.0
ID9994_IZDA,95.0
ID9995_DCHA,95.0
ID9995_IZDA,95.0
ID9996_DCHA,95.0
ID9996_IZDA,95.0
ID9997_DCHA,95.0
ID9997_IZDA,95.0
ID9998_DCHA,95.0
ID9998_IZDA,95.0
ID9999_DCHA,95.0
ID9999_IZDA,95.0
CONTROL998_DCHA_aug0_001,95.0
CONTROL14_DCHA_aug0_002,95.0
CONTROL103_DCHA_aug0_003,95.0
CONTROL13_DCHA_aug0_004,95.0
CONTROL01_DCHA_aug0_005,95.0
CONTROL108_DCHA_aug0_006,95.0
CONTROL01_DCHA_aug0_007,95.0
ID997_DCHA_aug0_008,95.0
CONTROL103_DCHA_aug0_009,95.0
CONTROL22_DCHA_aug0_010,95.0
ID01_IZDA_aug0_011,95.0
CONTROL07_IZDA_aug0_012,95.0
CONTROL998_IZDA_aug0_013,95.0
ID982_IZDA_aug0_014,95.0
CONTROL107_DCHA_aug0_015,95.0
CONTROL21_DCHA_aug0_016,95.0
CONTROL995_DCHA_aug0_017,95.0
CONTROL995_IZDA_aug0_018,95.0
CONTROL999_DCHA_aug0_019,95.0
CONTROL09_IZDA_aug0_020,95.0
CONTROL18_DCHA_aug0_021,95.0
CONTROL108_DCHA_aug0_022,95.0
CONTROL106_IZDA_aug0_023,95.0
CONTROL13_DCHA_aug0_024,95.0
ID30_DCHA_aug0_025,95.0
CONTROL15_IZDA_aug0_026,95.0
CONTROL21_DCHA_aug0_027,95.0
CONTROL09_DCHA_aug0_028,95.0
CONTROL999_IZDA_aug0_029,95.0
CONTROL21_IZDA_aug0_030,95.0
CONTROL105_IZDA_aug0_031,95.0
CONTROL101_DCHA_aug0_032,95.0
CONTROL11_DCHA_aug1_001,95.0
ID27_IZDA_aug1_002,95.0
CONTROL03_IZDA_aug1_003,95.0
ID102_IZDA_aug1_004,95.0
ID117_IZDA_aug2_001,95.0
ID123_IZDA_aug2_002,95.0
ID115_IZDA_aug2_003,95.0
ID987_IZDA_aug2_004,95.0
ID40_DCHA_aug2_005,95.0
ID984_IZDA_aug2_006,95.0
ID987_IZDA_aug2_007,95.0
ID23_DCHA_aug2_008,95.0
ID9995_IZDA_aug2_009,95.0
ID08_IZDA_aug2_010,95.0
ID9994_DCHA_aug2_011,95.0
ID50_DCHA_aug2_012,95.0
ID08_IZDA_aug2_013,95.0
ID986_IZDA_aug2_014,95.0
ID9998_IZDA_aug2_015,95.0
ID986_IZDA_aug2_016,95.0
ID115_IZDA_aug2_017,95.0
ID9994_DCHA_aug2_018,95.0
ID08_IZDA_aug2_019,95.0
ID126_IZDA_aug2_020,95.0
ID40_DCHA_aug2_021,95.0
ID40_DCHA_aug2_022,95.0
ID9995_IZDA_aug2_023,95.0
ID9994_DCHA_aug2_024,95.0
ID43_IZDA_aug2_025,95.0
ID987_IZDA_aug2_026,95.0
ID984_IZDA_aug2_027,95.0
ID984_IZDA_aug2_028,95.0
ID9994_DCHA_aug2_029,95.0
ID08_IZDA_aug2_030,95.0
ID999_DCHA_aug2_031,95.0
ID987_DCHA_aug2_032,95.0
ID986_IZDA_aug2_033,95.0
ID990_IZDA_aug2_034,95.0
ID115_DCHA_aug2_035,95.0
ID114_IZDA_aug2_036,95.0
ID23_DCHA_aug2_037,95.0
ID999_DCHA_aug2_038,95.0
ID123_IZDA_aug2_039,95.0
ID123_IZDA_aug2_040,95.0
ID987_DCHA_aug2_041,95.0
ID120_IZDA_aug2_042,95.0
ID114_IZDA_aug2_043,95.0
ID9998_IZDA_aug2_044,95.0
ID50_DCHA_aug2_045,95.0
ID9995_IZDA_aug2_046,95.0
ID999_IZDA_aug2_047,95.0
ID50_DCHA_aug2_048,95.0
ID124_IZDA_aug2_049,95.0
ID126_IZDA_aug2_050,95.0
ID9998_IZDA_aug2_051,95.0
ID127_IZDA_aug2_052,95.0
ID117_IZDA_aug2_053,95.0
ID50_DCHA_aug2_054,95.0
ID987_DCHA_aug2_055,95.0
ID120_IZDA_aug2_056,95.0
ID23_DCHA_aug2_057,95.0
ID987_DCHA_aug2_058,95.0
ID984_IZDA_aug2_059,95.0
ID22_DCHA_aug2_060,95.0
ID120_IZDA_aug2_061,95.0
ID115_DCHA_aug2_062,95.0
