ID,Percentage
ID990_IZDA,98.66666666666667
ID991_DCHA,100.0
ID991_IZDA,100.0
ID992_DCHA,100.0
ID992_IZDA,98.66666666666667
ID993_DCHA,100.0
ID993_IZDA,100.0
ID994_DCHA,100.0
ID994_IZDA,100.0
ID996_DCHA,100.0
ID996_IZDA,100.0
ID997_DCHA,100.0
ID997_IZDA,98.0
ID998_DCHA,100.0
ID998_IZDA,100.0
ID9992_DCHA,96.66666666666667
ID9992_IZDA,100.0
ID9993_DCHA,100.0
ID9993_IZDA,100.0
ID9994_DCHA,99.33333333333333
ID9994_IZDA,100.0
ID9995_DCHA,100.0
ID9995_IZDA,100.0
ID9996_DCHA,100.0
ID9996_IZDA,89.33333333333333
ID9997_DCHA,100.0
ID9997_IZDA,100.0
ID9998_DCHA,100.0
ID9998_IZDA,100.0
ID9999_DCHA,100.0
ID9999_IZDA,100.0
ID999_DCHA,93.33333333333333
ID999_IZDA,96.0
